polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
16,52,97.0%,0.8165548098434005,0.03683297808969587,Education standards should require educational field trips to natural spaces for all school children.
17,116,100.0%,0.8152173913043479,0.003173815771059737,We need more trees on hillsides and coastlines to avoid erosion.
18,69,93.8%,0.8128544423440454,0.017275373504952847,Establish a partnership between the agriculture industry and government to develop and promote farming practices that protect and restore our biodiversity
19,10,95.2%,0.8127935222672065,0.10984983098399231,We should reduce the pressure on our biodiversity by following the advice of the World Economic Forum and other major institutions to invest in creating a circular economy that minimises waste and makes the most of resources
20,7,95.4%,0.8106355382619974,0.11815705019969426,To protect and restore biodiversity and ecosystem services we must move away from a fixation on economic growth and towards sustainable production and consumption
21,13,95.1%,0.8100185528756958,0.10492054286228746,"Nature has the right to exist for its own sake, regardless of any benefits we may get from it"
22,41,97.1%,0.8077380952380951,0.050881572848038716,Water management to prevent degradation is key to success in land and biodiversity management
23,32,95.3%,0.8058426346975334,0.061318332487828635,Roles and responsibilities in the biodiversity system need to be better defined and communicated
24,81,92.4%,0.8041697691734921,0.01023537203859275,"Many private land owners will protect native biodiversity on their land if they know how to, and are assisted/encouraged"
25,11,94.6%,0.802582257392753,0.10906250840647497,"We need to move rapidly towards farming practices that promote sustainable food production e.g. the use of locally produced food, using techniques such as permaculture, biodynamics, urban agriculture"
26,125,97.7%,0.7936507936507936,0.002719650567385227,I am a NZ citizen or permanent resident
27,22,87.8%,0.7928110599078342,0.0823891380225973,The biodiversity system needs more collaborative decision-making that involves all affected parties
28,20,85.3%,0.7892156862745098,0.08693906287046906,Introduced species are not inherently good or bad. Their place in our biodiversity depends on the impact of the specific species.
29,97,96.9%,0.788961038961039,0.005827779493938339,"Scholars in all disciplines need to contribute to this work, not only scientists and engineers."
30,16,95.4%,0.7861078315623771,0.1005225010505503,"By 2070, nature in Aotearoa NZ should be healthy, abundant, and thriving"
31,9,95.6%,0.7798716260697828,0.1116225107148932,Monitoring and evaluation of biodiversity management is crucial to ensure activities are effective and efficient
32,82,93.5%,0.7714072970960536,0.01022758616880558,"Allow seaweed aquaculture, which will improve biodiversity, sequester more carbon than trees and reduce ocean acidification"
33,3,96.5%,0.7691993464052288,0.12492589290842301,Ecosystems are interconnected and biodiversity should be managed in a coordinated way across boundaries
34,110,94.5%,0.7659574468085107,0.003806899606736501,"We are part of nature, not separate from it. Nature has no right separate from us, but when it falls, we fall too."
35,95,95.6%,0.7586206896551724,0.006135370359615006,Biodiversity and environmental stewardships are fundamental obligations of landowners.
36,137,97.1%,0.7515151515151516,0.0012522805786626605,"Iwi & small-scale land owners could use low productivity/erodible land for long-rotation totara and rimu plantations.= Habitat,fruit,timber."
37,44,94.9%,0.7509578544061303,0.046664205465584606,"Farming monocultures are harmful, funding should be given to research and promote diverse  systems of farming."
38,86,94.0%,0.7414486921529175,0.008678932199820095,The resource management act review must address cumulative adverse effects - many minor losses add up to significant losses otherwise
39,35,93.4%,0.7354552183567727,0.058099614445453196,"New Vision: Current and future generations connect with Aotearoa’s’ healthy, abundant and thriving nature, restore it and are restored by it"
40,123,97.9%,0.7325581395348837,0.0027386811935968956,"Everyone can make a difference, even if it's something small like a backyard native bird feeder or a small donation to a conservation group."
41,105,95.0%,0.7211538461538463,0.004632289776141577,Home gardeners have a role to play through the plants and gardening methods that they choose.
42,28,93.5%,0.7186502507979936,0.07245449015060046,"Climate change adaptation should use nature-based solutions to build ecological resilience, and help maintain and restore nature"
43,135,92.3%,0.7135135135135136,0.0015704309199385616,More public knowledge about the science behind 1080 and the work DoC do is needed for conservation efforts to move forwards.
44,24,80.0%,0.7068607068607069,0.07652886057707019,NZ’s economic success relies on both non-indigeneous and indigeneous species
45,19,95.3%,0.7051671732522796,0.08889141155137055,We must continue to develop innovative ways of educating young people about our biodiversity
46,61,93.7%,0.696198347107438,0.02390444400149814,Get locals to help identify and set up as many 'mainland sanctuaries' as possible.
47,65,84.7%,0.6928471248246845,0.021240013151478165,"The biggest threat to biodiversity in our oceans and beaches is plastic pollution. We need to stop importing it, making it and buying it."
48,60,93.0%,0.6923636363636364,0.024430104429871518,The government should direct the agriculture industry to both improve biodiversity and to develop sustainably
49,39,87.4%,0.689933971162916,0.05378580954768083,the biodiversity strategy must be measureable
50,115,89.5%,0.6873977086743044,0.0034200678285698743,Biodiversity is too important for politicians to decide about. They need to enact what experts advise regardless of political desire.
51,83,93.3%,0.6780185758513932,0.009817487943048547,A stand-alone non-binding strategy will not be sufficient to ensure biodiversity protection
52,31,75.3%,0.6696187909125914,0.06195508629034513,Non-indigenous species and habitats can provide benefits for indigenous species
53,98,94.2%,0.6684350132625995,0.005704224294607429,Tourism must be managed to protect biodiversity.
54,112,93.2%,0.660377358490566,0.0037182871018378435,"Urban waterways need to be made into nature corridors and nature-compatible recreation spaces, not buried in pipes."
55,37,89.9%,0.658406850025947,0.05628659487814148,Government should ensure that all riparian protected areas that is manages are fenced from stock damage to vegetation and water quality
56,72,88.0%,0.6576117713638936,0.01266164577792892,"Open-data commons, curating/visualising enviro, social & financial data frm ALL users of whenua will help us make decisions democratically"
57,101,95.5%,0.6551724137931034,0.0052196293749136174,"Urban landscaping, such as city council plantings, need to prioritise biodiversity."
58,121,85.7%,0.6538461538461539,0.002793308006693932,"Farmers have a lot of knowledge about land, plants and animals that needs to be valued and brought into the public conversation."
59,128,97.7%,0.6507936507936507,0.0021757685782055136,We should recognise and value our indigenous ecosystems for their contribution to global biodiversity. We've lost so much already
60,103,93.8%,0.6432748538011696,0.004874755099573888,"Our buildings should support biodiversity more e.g. more green walls and roofs, reuse of grey water, etc"
61,30,73.7%,0.6312419974391805,0.06495245931603581,Non-indigenous ecosystems and species can be valuable for biodiversity and ecosystem services
62,129,94.9%,0.6306306306306306,0.00205314970594024,I am of European descent
63,58,93.0%,0.6283719454141543,0.0277030318946304,Any biodiversity strategy governance should include young people to speak for the future generations
64,54,95.4%,0.6209677419354839,0.03463571782650234,There needs to be a stronger emphasis on retaining our endemic invertebrate diversity. Without them our fragile ecosystem wouldn't exist.
65,21,89.0%,0.6151761517615175,0.08427894978692768,Te ao Maori regarding biodiversity / the environment and science should work together. Each perspective strengthens the other.
66,114,93.3%,0.6109090909090908,0.003530620692942051,Alternatives to mowed lawns need to be more acceptable. Let a bit more wilderness into gardens
67,146,86.2%,0.6043956043956044,0.0009140453671179883,"Biodiversity needs to be defined in a way that suits Aotearoa, all of us, not a metro view, or pakeha view or rural.  We cant reverse time."
68,141,85.7%,0.6026785714285714,0.0011326663190611966,"Conservation minded hunters are valuable in their contribution to management of introduced species, and their efforts should encouraged more"
69,102,90.6%,0.6009615384615384,0.005050100874594216,Current commercial monoculture forestry is damaging our environment. Mixed forestry with higher value species should be promoted
70,70,86.0%,0.587602238484718,0.01483237999879878,"Trapping for rats, etc should be fully subsidised on private property close to national and regional parks, and island sanctuaries so that native populations can expand beyond the protected areas"
71,53,70.3%,0.5718475073313782,0.035148742032008885,The protection and enhancement of our biodiversity does not have to cost huge amounts of money.
72,15,92.1%,0.5710928319623972,0.10070498801769345,We must invest in science and technology to achieve the vision and long-term outcomes of the  Biodiversity Strategy
73,23,88.7%,0.5703508110147115,0.08056930222835092,A partnership between tangata whenua and the Crown should reflect aspirations for the co-management of nature
74,76,91.8%,0.5646523716699156,0.011643742876080835,"We need more protection corridors that run from the sea to the mountains, managed to allow native species to thrive"
75,38,68.3%,0.557124035384905,0.05517283655606442,We should prioritise research and development into alternatives to 1080 poison
76,130,95.2%,0.5567765567765567,0.0018505903928881819,"Community conservation groups be better supported through more funding, better access to information and minimising paperwork"
77,74,90.5%,0.5520728008088978,0.011932418480167763,Biodiversity habitat and climate change response should go hand in hand
78,14,85.9%,0.5520361990950227,0.10208846050740805,"The Biodiversity Strategy should recognise the Treaty of Waitangi and the principles of partnership, protection and participation"
79,118,89.5%,0.5494186046511628,0.003124215548970299,"Conservation jobs should attract higher pay rates to attract and keep talented, knowledgeable and committed people"
80,46,87.4%,0.5478683052647549,0.04205634330107152,"More focus needs to be shifted from charismatic fauna to lesser known, threatened species."
81,25,89.7%,0.5421245421245421,0.07502737121504284,"Local, district and regional plans and/or strategies, as well as national tools (e.g. National Policy Statements and legislation) should guide action on the ground"
82,66,87.4%,0.5384897360703812,0.020670406740488412,There needs to be continual shift towards the mindset that outdoor cats have a significant negative impact on native biodiversity
83,59,93.6%,0.5374917053749171,0.02572085256819462,We need a way to ensure enduring financial commitment of central and local government to action for the whole duration of the strategy.
84,29,79.7%,0.5369190404797601,0.0675812097791227,"It is the capitalist system, with its drive for ever increasing profits and extraction of natural resources, that is the cause of our environmental crisis"
85,68,82.8%,0.532967032967033,0.018134013191787646,"The Maori perspective should not be bought, bent and manipulated in order to incorporate it into what is essentially a pakeha view."
86,48,73.2%,0.527859237536657,0.0406494788268328,Healthy functioning nature is a collective good and private landowners should be compensated if they are protecting or restoring biodiversity or ecosystem services
87,106,85.9%,0.5185185185185186,0.0046311452824839795,"Distributed decisions re:land use must account/forecast impact across human, social, natural, production, intellectual & financial metrics"
88,49,72.0%,0.5167173252279635,0.04057088960363888,"Restoration can't occur if destructive actions are ongoing. Stop poison spraying, land clearing, intensive farming."
89,45,84.8%,0.5083482409063804,0.04361600459095207,Roadsides and other public land are currently pest plant corridors. Where possible this aspect must be eliminated.
90,12,91.7%,0.5030732860520094,0.1078244630969024,More money and resources must be spent to protect and restore biodiversity and ecosystem services
91,26,84.2%,0.48547860457123215,0.07457414757578389,"Biodiversity management should recognise the value of mātauranga Māori and practical knowledge, right from planning through to monitoring success"
92,132,87.8%,0.4714285714285714,0.0016846954471062923,"Golf courses could be put to much better use, increasing biodiversity in towns and making it visible."
93,131,88.6%,0.4523809523809524,0.0017787025348204406,We need a plan to deal with cats in New Zealand.
94,140,69.0%,0.45,0.00118820942618926,I am male
95,134,73.9%,0.4444444444444444,0.0015705992372065452,The sale and use of pesticides and herbicides should be restricted with the aim of creating a totally organic environment
96,90,86.0%,0.44292549555707444,0.007836990545582798,Threatened indigenous plants should be protected by stronger legal mechanisms
97,62,90.7%,0.44077134986225897,0.022699748854111693,Pest plants are a significant threat to indigenous biodiversity.  More resources and focus is needed to address this issue.
98,27,87.0%,0.44005847953216376,0.07278721778444873,"The Biodiversity Strategy should encourage innovation and action, even when information is incomplete"
99,150,75.8%,0.43809523809523804,0.0007423984522723627,"Hunters spend more time in around indigenous and non-indigenous species than many other people, their advice should be sought and valued."
100,40,68.6%,0.43695952957454176,0.051411680239788135,Priority should be given to developing humane ways of eradicating pests such as possums and rats at scale
102,156,61.9%,0.42857142857142855,0.0002421683347782942,There should be a scheme for the trapping or shooting of wild / feral rabbits and the sale of their meat.  Far better than poisoning...
102,159,100.0%,0.42857142857142855,9.361846175203949e-06,"By 2070, nature in Aotearoa is healthy, abundant, and thriving"
102,159,100.0%,0.42857142857142855,9.361846175203949e-06,o protect and restore biodiversity and ecosystem services we must move away from a fixation on economic growth and towards sustainable production and consumption
104,133,58.9%,0.419047619047619,0.0016174211080750246,Stick to trapping rather than poison in areas people can reach by foot/quad. Reduce non-target deaths by contamination of their food chain.
105,67,87.2%,0.4176,0.018274128954094315,We need more advertising campaigns about NZ's unique flora and fauna so we feel the need to protect our species and so that we know what to do
106,139,80.5%,0.4166666666666667,0.001213496992828357,Zoos should play a stronger role in educating us about biodiversity.
107,136,64.6%,0.41441441441441434,0.001507752649033045,"Although consultation with stakeholders is a good idea, the democratic process as it stands is too clunky to achieve conservation success"
108,138,89.5%,0.4040816326530612,0.0012444846701803447,"We don't deserve to call ourselves Kiwis if we won't make reasonable efforts to save the Kiwi, and our other precious native species."
109,119,64.7%,0.4017857142857143,0.0028792633642756127,"Hunting of wild pigeons/kereru should never be legal again, for any race."
110,148,62.5%,0.39999999999999997,0.0008529570228779502,Economics and business aren't the problems. Selfishness is.
111,42,88.1%,0.3904694167852063,0.05035253842989267,"The impacts of deer, pigs and trout need to be clearly stated and their cultural links dealt with."
112,96,76.4%,0.38208168642951246,0.0060659775781022485,Preventing the illegal ownership of possums and ferrets as pets needs to be enforced more seriously.
113,143,65.9%,0.37037037037037035,0.0009941131273716048,"Voting in Hivemind is interesting and engaging, but it takes experts to figure out what really matters."
114,155,57.7%,0.36111111111111105,0.0002846196199018059,"Game animals (deer, tahr, chamois, trout etc) must be recognised as a renewable source of conservation revenue, to be carefully managed."
115,80,83.8%,0.3607594936708861,0.010442788483588239,"In rural NZ, private property does not give the right to destroy specie's habitat and homes, just because you ""own"" the land"
116,17,87.6%,0.3595505617977528,0.0965212158170988,The Biodiversity Strategy needs to prioritise conserving our indigenous species
117,64,56.4%,0.34792092706203137,0.022136166181035807,"Allowing the private sector to compete in providing biodiversity services would make them more effective and efficient, and drive innovation"
118,18,89.1%,0.34162170615372583,0.09274707328448373,Aotearoa New Zealand’s biodiversity is in crisis
186,238,100.0%,0.3333333333333333,0.0,"The youth need to be hugely involved in this - it is their future we are deciding here, their voices deserve to be heard and acted on."
186,238,100.0%,0.3333333333333333,0.0,"Dogs should be kept on the leash at all times on/near wildlife hotspot beaches to prevent injuring wildlife, and this needs to be enforced."
186,238,100.0%,0.3333333333333333,0.0,Biodiversity consultation needs to include experts from a variety of contexts in which experience and expertise has been gained.
186,238,100.0%,0.3333333333333333,0.0,The roles and responsibilities of various agencies needs to be clearer so public understand who is responsible for what
186,238,100.0%,0.3333333333333333,0.0,"We need to act now, before it's too late, and future generations miss out on our wonderful nature."
186,238,100.0%,0.3333333333333333,0.0,We have taken so much from this land already. It's time to give back.
186,238,100.0%,0.3333333333333333,0.0,New Zealanders don't see or interact enough with their native species so don't have a big enough drive to want to save them.
186,238,100.0%,0.3333333333333333,0.0,"More exposure to our unique endangered birdlife, like Sirocco the Kakapo, will help to raise awareness about why we need to save our species"
186,238,100.0%,0.3333333333333333,0.0,More and larger predator-free ecosanctuaries on the mainland are a step in the right direction.
186,238,100.0%,0.3333333333333333,0.0,There needs to be more education about conservation and its importance in schools.
186,238,100.0%,0.3333333333333333,0.0,"Predators could be managed by the public at lower cost to DOC with a bounty incentive, resulting in more people outdoors for a good cause"
186,238,100.0%,0.3333333333333333,0.0,"The Royal Society needs to exercise a primary authority here, not the government. The government are not experts."
186,238,100.0%,0.3333333333333333,0.0,"Science and matauranga Māori are both important, but we need more than just those two kinds of knowledge."
186,238,100.0%,0.3333333333333333,0.0,A key part of the solution is changing the way most New Zealanders think.
186,238,100.0%,0.3333333333333333,0.0,Most New Zealanders currently believe pest and biodiversity management are somebody elses problem.
186,238,100.0%,0.3333333333333333,0.0,The solutions to our biodiversity and pest control problems already exist - we just need to be willing to pay what it really costs.
186,238,100.0%,0.3333333333333333,0.0,"Responsible hunting of introduced species should be encouraged, & the right of a  responsible hunting community to do so should be protected"
186,238,100.0%,0.3333333333333333,0.0,Eradicating predators would be more acheivable if less was spent on poison (1080) and public participation encouraged with a bounty system.
186,238,100.0%,0.3333333333333333,0.0,"Democracy is great for engagement but expertise is important, too."
186,238,100.0%,0.3333333333333333,0.0,People need to open-minded educate themselves on 1080 - I was unsure but after extensive research I see how absolutely necessary it is
186,238,100.0%,0.3333333333333333,0.0,Biodiversity needs to happen where people can experience it.
186,238,100.0%,0.3333333333333333,0.0,"People should mow their lawns less, and let a bit more wilderness into their gardens."
186,238,100.0%,0.3333333333333333,0.0,We're running out of time.
186,238,100.0%,0.3333333333333333,0.0,More diversity in farming (e.g. farm and sell breed-specific milks) would contribute culturally to our work on nature's diversity.
186,238,100.0%,0.3333333333333333,0.0,Diversifying New Zealand's culture will improve opportunities to support the diversity of nature. E.g we will become open to broader diets.
186,238,100.0%,0.3333333333333333,0.0,"Soil health matters, too. Let's look after the microbes, worms, beetles and things at the foundation of the natural world."
186,238,100.0%,0.3333333333333333,0.0,Mowed lawns are a problem. We need alternatives to be made acceptable.
186,238,100.0%,0.3333333333333333,0.0,"None of this is news. We've known it for decades, and everyone who's been resisting it all this time needs to get out of the way NOW."
186,238,100.0%,0.3333333333333333,0.0,Architects need to incorporate biodiversity provisions into building design.
186,238,100.0%,0.3333333333333333,0.0,"We need to care for insects, algae, lichens and other life at the bottom of the food chain, in addition to the big animals."
186,238,100.0%,0.3333333333333333,0.0,Roadsides and berms need to be treated and valued as biodiverse wildlife space.
186,238,100.0%,0.3333333333333333,0.0,"Cat owners should keep their cats indoors, or at least stop them from roaming free without supervision."
186,238,100.0%,0.3333333333333333,0.0,Town planning needs to prioritise biodiversity.
186,238,100.0%,0.3333333333333333,0.0,"Make space for the young. The old who got us into this mess are not only stubborn, but essentially stupid."
186,238,100.0%,0.3333333333333333,0.0,Domestic cats need to be recognised as a serious but manageable threat to biodiversity.
186,238,100.0%,0.3333333333333333,0.0,"We need to work on the biodiversity of the sea, as well as of the land."
186,238,100.0%,0.3333333333333333,0.0,Human beings need to manage and maintain ecosystems and biodiversity in perpetuity.
186,238,100.0%,0.3333333333333333,0.0,Participants deserve to be shown the voting on all the statements submitted.
186,238,100.0%,0.3333333333333333,0.0,"NZ's economic interests need to be put aside for the moment, without our environment we have nothing."
186,238,100.0%,0.3333333333333333,0.0,"The future of Aotearoa's natural environment, ecosystems, biodiversity seems hopeless. It's too little, too late."
186,238,100.0%,0.3333333333333333,0.0,We need radical change to address the problems we've created. But our current systems may not allow for this to happen.
186,238,100.0%,0.3333333333333333,0.0,The way we currently produce animals for food is damaging our ecosystems
186,238,100.0%,0.3333333333333333,0.0,"If people continue to see nature as a resource to be exploited, we will never make real change. We need to value it for it's own sake."
186,238,100.0%,0.3333333333333333,0.0,"The processes of westernization, colonization, and capitalism underlie the erosion of our ecosystems."
186,238,100.0%,0.3333333333333333,0.0,We need to stop valuing economic systems over the natural ones they disrupt.
186,238,100.0%,0.3333333333333333,0.0,Our current farming practices are not sustainable
186,238,100.0%,0.3333333333333333,0.0,"We need to assess the impact of all introduced species to our ecosystems, including those we economically benefit from"
186,238,100.0%,0.3333333333333333,0.0,"Animal agriculture has an undeniable negative impact on our environment, and serious measures  need to be taken to address this"
186,238,100.0%,0.3333333333333333,0.0,Grazing should cease causing harm to our living freshwater ecosystems
186,238,100.0%,0.3333333333333333,0.0,"The natural state of man is the  expression of such gratitude, appreciation and compassion that ALL animals love to be in his/her presence."
186,238,100.0%,0.3333333333333333,0.0,Us humans have destroyed this stunning country and planet - it’s is time to give back what we have stolen — many hands make light work 🙏
186,238,100.0%,0.3333333333333333,0.0,"Whether they live in a city or in a rural area, every New Zealanders opinion matters."
186,238,100.0%,0.3333333333333333,0.0,DOC has very little support from the general public due to their obsession on poisoning our environment and food chain with 1080.
186,238,100.0%,0.3333333333333333,0.0,I no longer accept that it is economy or ecology.  Rather that a healthy biodiverse environment is essential for farming sustainability.
186,238,100.0%,0.3333333333333333,0.0,BAN TEN80
186,238,100.0%,0.3333333333333333,0.0,"Give nature a legal persona and let it have standing in planning law and the courts, represented by trustees appointed by iwi and the govt"
186,238,100.0%,0.3333333333333333,0.0,"In the face of a changing climate, reslient practices and species will become increasingly important"
186,238,100.0%,0.3333333333333333,0.0,Community environmental effort will be constantly undermined by economy-based decision making unless there are major system changes
186,238,100.0%,0.3333333333333333,0.0,Farmers need to be encouraged to move away from dairy and beef farming to arable farming.
186,238,100.0%,0.3333333333333333,0.0,The government must commit $$ to an implementation plan for the Strategy
186,238,100.0%,0.3333333333333333,0.0,This consultation can be skewed by bloc-voting from anti-1080 partisans.
186,238,100.0%,0.3333333333333333,0.0,"Man was created with domain over nature - we should use it, and it it dies it will be replaced - that's the nature of living things on earth"
186,238,100.0%,0.3333333333333333,0.0,Why not put the Maui dolphins in the Napier aquarium to breed and raise money to help save them
186,238,100.0%,0.3333333333333333,0.0,New Zealanders care about nature and our native species
186,238,100.0%,0.3333333333333333,0.0,NZ is a unique world treasure  we need to assure it has a future
186,238,100.0%,0.3333333333333333,0.0,The world is in a continual state of change and evolution. As one plant or animal disappears another takes its place.
186,238,100.0%,0.3333333333333333,0.0,As no ecosystem is ever browser  or predator free trying to eliminate them completely is both undesirable and impossible.
186,238,100.0%,0.3333333333333333,0.0,DOC have been starved of finance for many years and while that has been redressed slightly more backing is needed for biodiversity
186,238,100.0%,0.3333333333333333,0.0,"Biodiversity habitat and climate change response should go hand in hand - plant specification, farming practice can contribute to both."
186,238,100.0%,0.3333333333333333,0.0,"When NZ species are clearly doomed due to climate crisis, we must stop pest control - this will be pointless, so inhumane."
186,238,100.0%,0.3333333333333333,0.0,Returning forests to an unbrowsed state is nonsense. Moa browsed extensively from lowlands to alpine areas. Browsers are part of our nature!
186,238,100.0%,0.3333333333333333,0.0,Our livelihoods must be connected to restoring nature to shift from our degenerative economy and stop the global ecological collapse
186,238,100.0%,0.3333333333333333,0.0,Threatened Plants need legal protection
186,238,100.0%,0.3333333333333333,0.0,We need to find alternatives to using 1080 poison for pest control
186,238,100.0%,0.3333333333333333,0.0,There should be a working partnership between the agriculture industry & the government working towards biodiversity
186,238,100.0%,0.3333333333333333,0.0,More great advertising like this video with a call to specific action - tell Kiwis what we need to do to help protect our vulnerable species
186,238,100.0%,0.3333333333333333,0.0,Love your video on NZ's unique flora and fauna. We need more advertising campaigns like this so we feel the need to protect our species.
186,238,100.0%,0.3333333333333333,0.0,Private property close to national or regional parks should be fully subsidised for trapping rodents.
186,238,100.0%,0.3333333333333333,0.0,Time to bring back gorse inspections for land. The law used to be that gorse must be removed. What happened to that?
186,238,100.0%,0.3333333333333333,0.0,Time to subsidise backyard trapping in Auckland close to island sanctuaries before the birds start flying over and get eaten by our rats.
186,238,100.0%,0.3333333333333333,0.0,Kakapo need a warmer place to live than the deep South. Time to bring more up North where they once lived in abundance. So sad so many died.
186,238,100.0%,0.3333333333333333,0.0,We need to identify as many possible 'mainland sanctuaries' as possible. Get locals to identify potential habitats and get started.
186,238,100.0%,0.3333333333333333,0.0,The government needs to provide direction to the agriculture industry to both improve biodiversity and ensure sustainable development.
186,238,100.0%,0.3333333333333333,0.0,The strategy should include measures for improved connection and wellbeing of people.
186,238,100.0%,0.3333333333333333,0.0,"Populations of non-native species that have a recreational or economic benefit (eg tahr hunting, trout fishing) should not be maintained."
186,238,100.0%,0.3333333333333333,0.0,End aerial 180 drops
186,238,100.0%,0.3333333333333333,0.0,"Seaweed aquaculture will improve biodiversity,sequester more carbon than trees+reduce ocean acidification.Legislation currently prohibits it"
186,238,100.0%,0.3333333333333333,0.0,"We could switch NZ's main meat source to wild deer/pig/trout/goat, hunting levels down so they are less impactful on natives"
186,238,100.0%,0.3333333333333333,0.0,"If we keep pigs/deer/trout, they should be made a mainstream food source (instead of farming) and try to control levels to feed people"
186,238,100.0%,0.3333333333333333,0.0,"For hunting/fishing, restricted areas could be made and require bookings to reduce number of hunters in bush at the same time."
186,238,100.0%,0.3333333333333333,0.0,Hapu should be involved BUT some may use that as an excuse to keep/exploit land which could be used for conservation. Word laws carefully
186,238,100.0%,0.3333333333333333,0.0,"I find this kind of participation frustrating because it does not, probably cannot, include deliberation with one's fellow citizens."
186,238,100.0%,0.3333333333333333,0.0,The clean water issue having farmers both hill country & flat land under the one umbrella is unfair as the situation is entirely different.
186,238,100.0%,0.3333333333333333,0.0,Allowing government/politicians to manage nature is the main problem. Stop poisoning our wild food.
186,238,100.0%,0.3333333333333333,0.0,Biodiversity means encouraging all forms of life to prosper. The current economic scarcity based system is unable to coexist with this idea.
186,238,100.0%,0.3333333333333333,0.0,"Everything works for everything; we need to have sustainable systems, not endless consumption and growth."
186,238,100.0%,0.3333333333333333,0.0,"Particularly in urban areas, we need to give greater weight to definite benefits for all from trees, less to tiny risk of injury to 1."
186,238,100.0%,0.3333333333333333,0.0,The wisdom of nature is greater than our own. We have little understanding of what we are doing.
186,238,100.0%,0.3333333333333333,0.0,"Protection and enhancement will mean different things, they need to be clear so everyone knows they are talking about the same things"
186,238,100.0%,0.3333333333333333,0.0,"genetic manipulation is best left to the experts, viruses."
186,238,100.0%,0.3333333333333333,0.0,"The ""economy"" is a subset of the environment, economics would have us believe it is separate as only money matters"
186,238,100.0%,0.3333333333333333,0.0,"It is neo-liberal economics, at its core it is a religion with a very savage hook, interest (usury it was called) which necessitates growth"
186,238,100.0%,0.3333333333333333,0.0,"nature has the right exist, what ignorant hubris, how disconnected is that statement from the world we live in?"
186,238,100.0%,0.3333333333333333,0.0,"Forget the crown, NZ is for NZers. That is all we need to understand. Unfortunately most of our ruling class consider others before NZers..."
186,238,100.0%,0.3333333333333333,0.0,"Stewardship is not a race based decision, we are all homo sap spp, the sooner we all realise there is nowhere to run the better"
186,238,100.0%,0.3333333333333333,0.0,"We already know what the problem is, no amount of science or tech is going to change it. Overshoot it is called, all else is symptom."
186,238,100.0%,0.3333333333333333,0.0,"Unfortunately the private landowner may do things to his/her land that are damaging for the country, we are all temporary utilisers of NZ"
186,238,100.0%,0.3333333333333333,0.0,Funding be given to gene research on changes in species that allow them to breed past sustainable levels and ways to return this to normal
186,238,100.0%,0.3333333333333333,0.0,"Water management to prevent degradation is key to success in land and bio management  while their management benefits water, they rely on it"
186,238,100.0%,0.3333333333333333,0.0,Ownership of water rights should not allow degradation of the resource.
186,238,100.0%,0.3333333333333333,0.0,"Ownership of land rights grant you the temporary use of it, the land continues in the community after you, it is not the right to degrade it"
186,238,100.0%,0.3333333333333333,0.0,"If climate change proceeds, there will come a point where we have to give up on protecting NZ biodiversity."
186,238,100.0%,0.3333333333333333,0.0,Gathering meat though hunting game species should  be considered as a valuable resource
186,238,100.0%,0.3333333333333333,0.0,The best strategy is to give land back to Nature and allow natural processes to create new ecosystems.
186,238,100.0%,0.3333333333333333,0.0,The existing combination of introduced and native plants and animals are the ecosystems of the future.
186,238,100.0%,0.3333333333333333,0.0,All life is precious and interconnected. This should be the basis for any plan.
